selling_price,year,km_driven,mileage,engine,max_power,age,Diesel,Electric,LPG,Petrol,Manual,5seats,>5seats
1.2,2012,120000,19.7,796,46.3,10,0,0,0,1,1,1,0
5.5,2016,20000,18.9,1197,82,6,0,0,0,1,1,1,0
2.15,2010,60000,17,1197,80,12,0,0,0,1,1,1,0
2.26,2012,37000,20.92,998,67.1,10,0,0,0,1,1,1,0
5.7,2015,30000,22.77,1498,98.59,7,1,0,0,0,1,1,0
3.5,2013,35000,18.9,998,67.1,9,0,0,0,1,1,1,0
3.15,2013,40000,20.36,1197,78.9,9,0,0,0,1,1,1,0
4.1,2018,17512,20.51,998,67.04,4,0,0,0,1,1,1,0
10.5,2019,20000,18.15,998,118.35,3,0,0,0,1,0,1,0
5.75,2017,70000,18.49,1493,100,5,1,0,0,0,1,0,1
3.05,2015,50000,19.09,1405,69.01,7,1,0,0,0,1,1,0
11.5,2019,18000,20.37,1461,108.49,3,1,0,0,0,1,1,0
5.11,2017,28321,16.6,1197,85,5,0,0,0,1,1,1,0
4.1,2016,27000,19.34,1198,76,6,0,0,0,1,0,1,0
4.25,2013,65278,22.32,1582,126.32,9,1,0,0,0,1,1,0
7.5,2016,50000,19.64,1461,108.45,6,1,0,0,0,1,1,0
20.9025,2017,6000,14.41,1998,189.08,5,0,0,0,1,0,1,0
6.5,2016,76000,28.09,1248,88.5,6,1,0,0,0,1,1,0
6.27,2016,20000,25.2,1248,74,6,1,0,0,0,1,1,0
14.25,2014,65000,19.27,2143,170,8,1,0,0,0,0,1,0
4.25,2014,62200,28.4,1248,74,8,1,0,0,0,1,1,0
6.05,2013,110000,12.99,2494,100.6,9,1,0,0,0,1,0,1
6,2015,20000,21.4,1197,83.1,7,0,0,0,1,1,1,0
5.75,2016,40000,20.85,1197,83.14,6,0,0,0,1,1,1,0
2.6,2012,97000,17.8,1248,76,10,1,0,0,0,1,1,0
4.25,2013,47000,16.09,1598,103.2,9,0,0,0,1,1,1,0
2.3,2013,25000,20.92,998,67.1,9,0,0,0,1,1,1,0
12.25,2019,15000,19.67,1582,126.2,3,1,0,0,0,1,1,0
3.75,2010,56823,14.02,2179,118.3,12,1,0,0,0,1,0,1
7.5,2015,50000,17.4,1497,117.3,7,0,0,0,1,1,1,0
3.5,2011,25000,13.6,2523,63,11,1,0,0,0,1,0,1
6,2015,90000,26.59,1248,74,7,1,0,0,0,1,1,0
3.9,2013,45000,26.59,1248,74,9,1,0,0,0,1,1,0
1.45,2007,77253,17.7,1497,78,15,0,0,0,1,1,1,0
7,2018,25000,17.19,1197,81.86,4,0,0,0,1,1,1,0
11.5,2013,110000,13,2982,168.5,9,1,0,0,0,1,0,1
3.4,2017,30000,23.01,999,67,5,0,0,0,1,1,1,0
4.65,2016,39993,18.6,1199,88.76,6,0,0,0,1,1,1,0
1.25,2009,80000,17.92,1086,62.1,13,0,0,0,1,1,1,0
6,2012,185000,15.1,2179,140,10,1,0,0,0,1,0,1
3.8,2013,90000,23.4,1248,74,9,1,0,0,0,1,1,0
4,2009,60000,14,2498,112,13,1,0,0,0,1,0,1
3,2014,90000,22.1,1248,74,8,1,0,0,0,1,1,0
5,2015,20000,19.1,1197,82,7,0,0,0,1,1,1,0
8.5,2018,15000,22.54,1396,88.73,4,1,0,0,0,1,1,0
